Date,Open,High,Low,Close,Adj Close,Volume
01-01-2014,448.725006,449.125,443.799988,444.399994,408.288574,2674148
02-01-2014,443.850006,448,435.049988,437.5,401.94931,2753802
03-01-2014,435.799988,436.674988,427.5,432.125,397.011078,5867226
06-01-2014,431.049988,431.625,425,427.475006,392.738892,6087562
07-01-2014,427.299988,429.975006,420.024994,421.049988,386.835968,7914222
08-01-2014,422.200012,428.674988,422.200012,424.524994,390.028656,5818096
09-01-2014,425.225006,426.899994,422.524994,425.350006,390.786591,3798680
10-01-2014,424.174988,438.149994,424,429.075012,394.208954,6784340
13-01-2014,434.125,441.5,434,440.200012,404.429901,5512780
14-01-2014,439.25,442.274994,436.225006,440.75,404.935181,5520534
15-01-2014,442.350006,447.5,440.5,442.725006,406.749725,5787920
16-01-2014,444.350006,446.649994,441.024994,443.075012,407.071289,8246532
17-01-2014,444.575012,448.450012,440.125,442.375,406.428131,7069260
20-01-2014,443.450012,444.5,433.049988,434.875,399.537598,7578016
21-01-2014,436.325012,436.799988,431,431.524994,396.459808,4483140
22-01-2014,431.75,437.674988,429.075012,436.225006,400.777924,3894018
23-01-2014,430.299988,435.649994,430.299988,432.899994,397.723053,6293962
24-01-2014,431,437.325012,430.549988,433.825012,398.572937,5430688
27-01-2014,428,430.399994,420.174988,421.575012,387.318359,5644102
28-01-2014,423.5,428,421.350006,422.424988,388.099274,5291150
29-01-2014,424.899994,426.25,417.5,418.299988,384.309448,5657052
30-01-2014,415.700012,416.924988,411.100006,412.5,378.980774,6446980
31-01-2014,413.5,416.725006,413.075012,415.575012,381.805878,5046364
03-02-2014,413.100006,414.899994,409.725006,410.450012,377.097351,3761456
04-02-2014,407.25,413.325012,406.575012,410.774994,377.395935,5651606
05-02-2014,410.049988,410.75,403.450012,408.625,375.420654,5165272
06-02-2014,410,412.049988,404.075012,407.924988,374.777527,4949514
07-02-2014,411.049988,411.899994,405.299988,407.225006,374.13443,3867194
10-02-2014,407.625,412.799988,405.575012,410.975006,377.579681,4729480
11-02-2014,411.5,412.5,401.375,402.625,369.908203,5764488
12-02-2014,404,410.950012,403.700012,408.950012,375.719238,4493438
13-02-2014,409.450012,409.450012,402.524994,403.700012,370.895874,3957828
14-02-2014,405.950012,412,404,411.024994,377.625671,4214500
17-02-2014,408.825012,411,403.524994,406.149994,373.146759,4141244
18-02-2014,403.549988,408.924988,403.549988,406.575012,373.537231,2624718
19-02-2014,406.5,410,405,406.125,373.123779,2802494
20-02-2014,405.649994,406.850006,401.549988,402.725006,370.000092,3676302
21-02-2014,403.549988,408,402.799988,405.75,372.779266,2860158
24-02-2014,404.024994,407.475006,402.649994,406.174988,373.169708,3109018
25-02-2014,407.149994,408,403.774994,405.274994,372.342804,3218148
26-02-2014,405.5,408.424988,404.125,405.350006,372.411774,6221142
28-02-2014,405.350006,407.674988,396.549988,399.975006,367.473511,8663244
03-03-2014,400.049988,403.399994,398.575012,401.700012,369.05838,5319350
04-03-2014,401.5,407.325012,401.299988,406.475006,373.445343,4113150
05-03-2014,407.774994,409,402.575012,403.5,370.712097,5407206
06-03-2014,404.674988,412.200012,404.649994,411.225006,377.809357,4650566
07-03-2014,412.5,437,412.5,434.700012,399.376801,15359504
10-03-2014,432.549988,451.825012,431.700012,442.725006,406.749725,15026818
11-03-2014,442.5,443.899994,436.049988,437.375,401.834442,5842670
12-03-2014,437,441.450012,433.825012,435.674988,400.272522,4311714
13-03-2014,437.5,447.375,437.350006,439.774994,404.039398,7873240
14-03-2014,437,444.975006,434.524994,443.075012,407.071289,7561782
18-03-2014,444.75,454.399994,444.75,448.225006,411.802795,8702092
19-03-2014,450,454.950012,447.625,451.5,414.811676,7486738
20-03-2014,450.799988,453.75,449.075012,453,416.189789,13583302
21-03-2014,453.5,456.674988,441.075012,442.899994,406.910461,10080962
24-03-2014,445.625,454.375,445.549988,452.700012,415.914154,13173462
25-03-2014,439.5,441.25,436.25,439.649994,403.924561,14309112
26-03-2014,440.625,451.475006,440.575012,445.600006,409.391113,6313930
27-03-2014,447.424988,452.450012,446.049988,450.375,413.778076,25330644
28-03-2014,450,459.975006,450,458.075012,420.852386,8534220
31-03-2014,458.125,469.899994,456.600006,465.375,427.559204,8572736
01-04-2014,468,472.5,464.649994,471.299988,433.002716,7150360
02-04-2014,472.5,481,469.049988,479.100006,440.168976,12242998
03-04-2014,478.399994,481.475006,470.200012,476.325012,437.619415,12138176
04-04-2014,476,476.625,470.774994,472.125,433.760712,5720924
07-04-2014,472,477.475006,467.174988,472.075012,433.714783,5899846
09-04-2014,475,483.350006,473.575012,481.075012,441.983459,6143834
10-04-2014,482.350006,486.950012,481.100006,484.524994,445.153107,4868594
11-04-2014,481.149994,485.524994,475.299988,476.875,438.124725,5345016
15-04-2014,475,477,468.299988,474.549988,435.988647,4235430
16-04-2014,473.25,479.5,469.049988,470.649994,432.405579,5660304
17-04-2014,472.5,480.899994,471.899994,479.549988,440.582336,3586836
21-04-2014,484.975006,484.975006,478.049988,479.799988,440.812042,5402428
22-04-2014,480,494.375,478.049988,483.875,444.555939,8837860
23-04-2014,484.5,491,482.125,483.575012,444.280334,6989386
24-04-2014,483.575012,483.575012,483.575012,483.575012,444.280334,0
25-04-2014,484,484.5,473,474.125,435.598206,6058440
28-04-2014,474.899994,478,470.674988,472.5,434.105225,7593798
29-04-2014,473.024994,475.875,469,470.149994,431.946198,3838596
30-04-2014,471.950012,480,464.549988,467.899994,429.879028,6579164
02-05-2014,470,473.700012,463,464.049988,426.341888,4146752
05-05-2014,462.5,479.25,462.5,473.424988,434.955048,6948584
06-05-2014,473.950012,483.5,473.774994,481.674988,442.534637,5665302
07-05-2014,480.049988,485.700012,478.524994,480.424988,441.38623,4832966
08-05-2014,481.549988,485.049988,475.375,480.149994,441.133636,5462764
09-05-2014,477.899994,499.5,477.899994,498.799988,458.268097,8435686
12-05-2014,497.450012,524.5,497.049988,514.349976,472.554504,14102560
13-05-2014,520,534.400024,517.25,531.700012,488.494751,12280984
14-05-2014,532,534,520.549988,522.75,480.271973,8857916
15-05-2014,522.75,530,519.625,526.700012,483.901093,9538648
16-05-2014,545.049988,572.625,531.049988,539.625,504.882263,24062302
19-05-2014,545.5,562.375,543.450012,560.025024,523.968872,10879626
20-05-2014,563.950012,564.5,537.849976,539.924988,505.162933,10290398
21-05-2014,539.924988,551.474976,536.875,539.200012,504.484619,10053814
22-05-2014,543,556.700012,542.349976,550.400024,514.963501,8569666
23-05-2014,555.775024,566,551,563.724976,527.430542,7573792
26-05-2014,566.25,570,537.5,550.849976,515.384521,7348302
27-05-2014,551.5,554,537.549988,543.974976,508.952148,5153810
28-05-2014,544.799988,553.299988,542.375,544.450012,509.396667,5189668
29-05-2014,546.25,546.700012,534.174988,536.775024,502.215698,12644844
30-05-2014,542.5,544.849976,530,532.349976,498.075562,7906182
